iter	Passed	Remaining
943	3723	220
944	3726	216
945	3730	212
946	3734	209
947	3738	205
948	3741	201
949	3745	197
950	3750	193
951	3754	189
952	3758	185
953	3763	181
954	3767	177
955	3772	173
956	3776	169
957	3780	165
958	3784	161
959	3788	157
960	3792	153
961	3796	149
962	3800	146
963	3803	142
964	3807	138
965	3811	134
966	3815	130
967	3818	126
968	3822	122
969	3826	118
970	3830	114
971	3834	110
972	3837	106
973	3841	102
974	3845	98
975	3849	94
976	3852	90
977	3857	86
978	3861	82
979	3865	78
980	3868	74
981	3872	70
982	3876	67
983	3880	63
984	3884	59
985	3887	55
986	3891	51
987	3895	47
988	3899	43
989	3902	39
990	3906	35
991	3910	31
992	3914	27
993	3918	23
994	3922	19
995	3926	15
996	3929	11
997	3933	7
998	3937	3
999	3940	0
